id,original_language,status,titulo,vote_count,revenue,runtime,adult
862,en,Released,Toy Story,5415.0,373554033.0,81.0,
8844,en,Released,Jumanji,2413.0,262797249.0,104.0,
15602,en,Released,Grumpier Old Men,92.0,0.0,101.0,
31357,en,Released,Waiting to Exhale,34.0,81452156.0,127.0,
11862,en,Released,Father of the Bride Part II,173.0,76578911.0,106.0,
949,en,Released,Heat,1886.0,187436818.0,170.0,
11860,en,Released,Sabrina,141.0,0.0,127.0,
45325,en,Released,Tom and Huck,45.0,0.0,97.0,
9091,en,Released,Sudden Death,174.0,64350171.0,106.0,
710,en,Released,GoldenEye,1194.0,352194034.0,130.0,
9087,en,Released,The American President,199.0,107879496.0,106.0,
12110,en,Released,Dracula: Dead and Loving It,210.0,0.0,88.0,
21032,en,Released,Balto,423.0,11348324.0,78.0,
10858,en,Released,Nixon,72.0,13681765.0,192.0,
1408,en,Released,Cutthroat Island,137.0,10017322.0,119.0,
524,en,Released,Casino,1343.0,116112375.0,178.0,
4584,en,Released,Sense and Sensibility,364.0,135000000.0,136.0,
5,en,Released,Four Rooms,539.0,4300000.0,98.0,
9273,en,Released,Ace Ventura: When Nature Calls,1128.0,212385533.0,90.0,
11517,en,Released,Money Train,224.0,35431113.0,103.0,
8012,en,Released,Get Shorty,305.0,115101622.0,105.0,
1710,en,Released,Copycat,199.0,0.0,124.0,
9691,en,Released,Assassins,394.0,30303072.0,132.0,
12665,en,Released,Powder,143.0,0.0,111.0,
451,en,Released,Leaving Las Vegas,365.0,49800000.0,112.0,
16420,en,Released,Othello,33.0,0.0,123.0,
9263,en,Released,Now and Then,91.0,27400000.0,100.0,
17015,en,Released,Persuasion,36.0,0.0,104.0,
902,fr,Released,The City of Lost Children,308.0,1738611.0,108.0,
37557,zh,Released,Shanghai Triad,17.0,0.0,108.0,
9909,en,Released,Dangerous Minds,249.0,180000000.0,99.0,
63,en,Released,Twelve Monkeys,2470.0,168840000.0,129.0,
78802,fr,Released,Wings of Courage,4.0,0.0,50.0,False
9598,en,Released,Babe,756.0,254134910.0,89.0,
47018,en,Released,Carrington,16.0,0.0,121.0,
687,en,Released,Dead Man Walking,350.0,39363635.0,122.0,
139405,en,Released,Across the Sea of Time,2.0,0.0,51.0,False
33689,en,Released,It Takes Two,149.0,0.0,101.0,
9603,en,Released,Clueless,828.0,0.0,97.0,
34615,en,Released,"Cry, the Beloved Country",13.0,676525.0,106.0,
31174,en,Released,Richard III,50.0,0.0,104.0,
11443,en,Released,Dead Presidents,80.0,0.0,119.0,
35196,en,Released,Restoration,30.0,0.0,117.0,
9312,en,Released,Mortal Kombat,452.0,122195920.0,101.0,
577,en,Released,To Die For,177.0,21284514.0,106.0,
11861,en,Released,How To Make An American Quilt,38.0,23574130.0,116.0,
807,en,Released,Se7en,5915.0,327311859.0,127.0,
10530,en,Released,Pocahontas,1509.0,346079773.0,81.0,
8391,en,Released,When Night Is Falling,10.0,0.0,96.0,
629,en,Released,The Usual Suspects,3334.0,23341568.0,106.0,
117164,en,Released,Guardian Angel,3.0,0.0,93.0,False
11448,en,Released,Mighty Aphrodite,145.0,6700000.0,95.0,
49133,it,Released,Lamerica,11.0,0.0,116.0,
26441,en,Released,The Big Green,41.0,0.0,100.0,
97406,en,Released,Georgia,15.0,0.0,115.0,
124057,en,Released,Kids of the Round Table,1.0,0.0,89.0,False
9089,en,Released,Home for the Holidays,39.0,17519169.0,103.0,
11010,it,Released,The Postman,181.0,0.0,108.0,
99040,fr,Released,The Confessional,2.0,0.0,100.0,False
11359,en,Released,The Indian in the Cupboard,136.0,0.0,96.0,
17182,en,Released,Eye for an Eye,65.0,0.0,101.0,
2054,en,Released,Mr. Holland's Opus,115.0,106269971.0,137.0,
10607,en,Released,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,192.0,0.0,89.0,
19760,en,Released,Two If by Sea,14.0,0.0,96.0,
9536,en,Released,Bio-Dome,110.0,0.0,88.0,
11525,en,Released,Lawnmower Man 2: Beyond Cyberspace,32.0,2409225.0,92.0,
40628,en,Released,Two Bits,11.0,0.0,85.0,
4482,fr,Released,French Twist,43.0,0.0,95.0,
10634,en,Released,Friday,513.0,28215918.0,91.0,
755,en,Released,From Dusk Till Dawn,1644.0,25836616.0,108.0,
11859,en,Released,Fair Game,54.0,11534477.0,91.0,
28387,en,Released,Kicking and Screaming,36.0,718490.0,96.0,
48750,fr,Released,Les Miserables,8.0,0.0,175.0,False
20927,en,Released,Bed of Roses,27.0,19030691.0,87.0,
36929,en,Released,Big Bully,16.0,2042530.0,90.0,
9102,en,Released,Screamers,154.0,5781885.0,108.0,
124626,en,Released,Nico Icon,3.0,0.0,70.0,False
27526,en,Released,The Crossing Guard,74.0,0.0,111.0,
9623,en,Released,The Juror,91.0,0.0,118.0,
46785,fa,Released,The White Balloon,20.0,0.0,85.0,
400,en,Released,Things to Do in Denver When You're Dead,87.0,529766.0,116.0,
880,nl,Released,Antonia's Line,26.0,0.0,102.0,
146599,en,Released,Once Upon a Time... When We Were Colored,2.0,0.0,115.0,False
188588,en,Released,Last Summer in the Hamptons,0.0,0.0,108.0,False
8447,en,Released,Angels and Insects,17.0,0.0,118.0,
10534,en,Released,White Squall,86.0,10300000.0,129.0,
17414,en,Released,Dunston Checks In,59.0,0.0,88.0,
13997,en,Released,Black Sheep,124.0,32.0,87.0,
2086,en,Released,Nick of Time,190.0,8175346.0,90.0,
61548,en,Released,The Journey of August King,3.0,0.0,91.0,False
9095,en,Released,Mary Reilly,77.0,12379402.0,104.0,
12158,en,Released,Vampire in Brooklyn,113.0,19800000.0,100.0,
