departamento;x;y
AMAZONAS;640;480
ANTIOQUIA;285;300
ARAUCA;292;480
ATLANTICO;110;316
BOLIVAR;220;350
BOYACA;340;390
CALDAS;345;300
CAQUETA;550;350
CASANARE;340;465
CAUCA;470;230
CESAR;145;380
CHOCO;340;230
CORDOBA;220;280
CUNDINAMARCA;360;340
BOGOTA D.C.;385;350
GUAINIA;470;580
GUAVIARE;500;440
HUILA;460;290
LA GUAJIRA;80;420
MAGDALENA;140;340
META;430;400
NARINO;510;180
NORTE DE SANTANDER;220;405
PUTUMAYO;560;280
QUINDIO;385;282
RISARALDA;352;267
SAN ANDRES Y PROVIDENCIA;90;203
SANTANDER;285;380
SUCRE;198;317
TOLIMA;400;300
VALLE;425;235
VAUPES;550;500
VICHADA;370;560
