RAZON_SOCIAL,SUPERVISOR,REGION,DEPARTAMENTO,CIUDAD,MACROSECTOR,INGRESOS_OP,UTILIDAD,TOTAL_ACTIVOS,TOTAL_PASIVOS,TOTAL_PATRIMONIO
UNIFY LTDA,SUPERSOCIEDADES,Bogota - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,SERVICIOS,0.02,0.0,0.03,0.02,0.01
CONCRELAB SAS,SUPERSOCIEDADES,Bogota - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,SERVICIOS,0.02,0.0,0.01,0.0,0.01
DIAGNOSTICENTRO DIESEL LA MONTANA SASA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,COMERCIO,0.02,0.0,0.02,0.01,0.01
OXOHOTEL WAYA WUAJIRA SAS,SUPERSOCIEDADES,Costa Atlantica,LA GUAJIRA,ALBANIA,SERVICIOS,0.02,0.0,0.0,0.0,0.0
GLOBAL PACIFIC,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ITAGUI,COMERCIO,0.02,0.0,0.01,0.01,0.0
SOCIA BPO,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN,SERVICIOS,0.02,0.0,0.0,0.0,0.0
LABORATORIOS LICOL SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO,MANUFACTURA,0.02,0.0,0.01,0.01,0.01
ARCANGEL MIGUEL INTERNACIONAL SAS,SUPERSOCIEDADES,Eje Cafetero,QUINDIO,LA TEBAIDA,MANUFACTURA,0.02,0.0,0.01,0.01,0.0
NETWORKING EMPRESARIAL COLOMBIA SAS,SUPERSOCIEDADES,Bogota - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,SERVICIOS,0.02,0.0,0.0,0.0,0.0
ASSALUD IPS,SUPERSALUD,Centro - Oriente,NORTE DE SANTANDER,BUCARAMANGA,SERVICIOS,0.02,0.0,0.03,0.0,0.02
AGROPECUARIA LA PRADERA SAS,SUPERSOCIEDADES,Bogota - Cundinamarca,CUNDINAMARCA,MOSQUERA ,COMERCIO,0.02,0.0,0.0,0.0,0.0
GROBMA SAS,SUPERSOCIEDADES,Bogota - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,COMERCIO,0.02,0.0,0.01,0.01,0.0
C B BOLIVAR INMOBILIARIA SA,SUPERSOCIEDADES,Bogota - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,CONSTRUCCION,0.02,0.02,0.09,0.0,0.09
PREMIUM CHOICE SAS,SUPERSOCIEDADES,Bogota - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.,COMERCIO,0.02,0.0,0.01,0.01,0.0
